Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
1300,1300,0,36
1301,1301,0,62
1302,1302,0,49
1303,1303,0,-35
1304,1304,0,-4
1305,1305,0,64
1306,1306,0,45
1307,1307,0,12
1308,1308,0,8
1309,1309,0,23
1310,1310,0,81
1311,1311,0,29
1312,1312,0,-23
1313,1313,0,1
1314,1314,0,62
1315,1315,0,-49
1316,1316,0,-30
1317,1317,0,26
1318,1318,0,25
1319,1319,0,-26
1320,1320,0,-23
1321,1321,0,31
1322,1322,0,99
1323,1323,0,63
1324,1324,0,55
1325,1325,0,-29
1326,1326,0,-54
1327,1327,0,44
1328,1328,0,98
1329,1329,0,46
1330,1330,0,-36
1331,1331,0,-47
1332,1332,0,11
1333,1333,0,21
1334,1334,0,-128
1335,1335,0,-41
1336,1336,0,-34
1337,1337,0,93
1338,1338,0,41
1339,1339,0,29
1340,1340,0,-94
1341,1341,0,-19
1342,1342,0,-55
1343,1343,0,7
1344,1344,0,157
1345,1345,0,-185
1346,1346,0,202
1347,1347,0,8
1348,1348,0,-148
1349,1349,0,204
1350,1350,0,19
1351,1351,0,17
1352,1352,0,62
1353,1353,0,14
1354,1354,0,21
1355,1355,0,65
1356,1356,0,13
1357,1357,0,-18
1358,1358,0,-34
1359,1359,0,-27
1360,1360,0,76
1361,1361,0,-26
1362,1362,0,-1
1363,1363,0,101
1364,1364,0,-55
1365,1365,0,119
1366,1366,0,20
1367,1367,0,5
1368,1368,0,123
1369,1369,0,-13
1370,1370,0,43
1371,1371,0,11
1372,1372,0,40
1373,1373,0,15
1374,1374,0,66
1375,1375,0,35
1376,1376,0,12
1377,1377,0,18
1378,1378,0,-39
1379,1379,0,28
1380,1380,0,36
1381,1381,0,-40
1382,1382,0,3
1383,1383,0,58
1384,1384,0,-8
1385,1385,0,13
1386,1386,0,11
1387,1387,0,45
1388,1388,0,69
1389,1389,0,-43
1390,1390,0,-9
1391,1391,0,81
1392,1392,0,3
1393,1393,0,-43
1394,1394,0,-53
1395,1395,0,-11
1396,1396,0,96
1397,1397,0,39
1398,1398,0,42
1399,1399,0,60
1400,1400,0,-19
1401,1401,0,36
1402,1402,0,60
1403,1403,0,-147
1404,1404,0,-24
1405,1405,0,-12
1406,1406,0,83
1407,1407,0,104
1408,1408,0,-20
1409,1409,0,-7
1410,1410,0,32
1411,1411,0,-19
1412,1412,0,-9
1413,1413,0,38
1414,1414,0,4
1415,1415,0,56
1416,1416,0,104
1417,1417,0,-71
1418,1418,0,36
1419,1419,0,12
1420,1420,0,3
1421,1421,0,59
1422,1422,0,-36
1423,1423,0,4
1424,1424,0,21
1425,1425,0,105
1426,1426,0,-23
1427,1427,0,-68
1428,1428,0,43
1429,1429,0,-16
1430,1430,0,30
1431,1431,0,0
1432,1432,0,27
1433,1433,0,7
1434,1434,0,-21
1435,1435,0,31
1436,1436,0,-49
1437,1437,0,51
1438,1438,0,123
1439,1439,0,18
1440,1440,0,3
1441,1441,0,51
1442,1442,0,-48
1443,1443,0,59
1444,1444,0,23
1445,1445,0,-146
1446,1446,0,-192
1447,1447,0,-171
1448,1448,0,-180
1449,1449,0,-80
1450,1450,0,-69
1451,1451,0,-40
1452,1452,0,137
1453,1453,0,59
1454,1454,0,80
1455,1455,0,-105
1456,1456,0,49
1457,1457,0,45
1458,1458,0,13
1459,1459,0,-18
1460,1460,0,1
1461,1461,0,73
1462,1462,0,29
1463,1463,0,2
1464,1464,0,-84
1465,1465,0,-69
1466,1466,0,50
1467,1467,0,21
1468,1468,0,85
1469,1469,0,103
1470,1470,0,11
1471,1471,0,-28
1472,1472,0,-110
1473,1473,0,39
1474,1474,0,77
1475,1475,0,159
1476,1476,0,162
1477,1477,0,88
1478,1478,0,139
1479,1479,0,4
1480,1480,0,68
1481,1481,0,62
1482,1482,0,-43
1483,1483,0,7
1484,1484,0,109
1485,1485,0,-43
